Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.11237294114636,-0.275643623117005,-2.86701492963669,0,0,0,14.1824601611886,10.7617154383148,3.78914552899474E-09,-1.95652292256386E-12,10.7616370078245,-0.000384620075721185,0.0107126620673073,0,0,0,0,0,0,package://Gate_URDF/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://Gate_URDF/meshes/base_link.STL,,3 inch black pvc-1;connector-1;connector-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
left,4.44089209850063E-16,-0.762,4.44089209850063E-16,0,0,0,6.94999978330128,1.34768073035475,1.45852749030322E-16,0,0.00504434459271899,3.98670251127624E-16,1.34768073035475,0,0,0,0,0,0,package://Gate_URDF/meshes/left.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://Gate_URDF/meshes/left.STL,,60 inch pvc-2,,,left,continuous,-1.1124,1.3,-0.32608,1.5708,0,-0.83378,base_link,0,0,0,,,,,,,,,,,,0
center,0,-0.3048,0,0,0,0,1.23555551703134,0.038461570623003,2.43271810429554E-18,0,0.000398565498683969,2.15845533919502E-18,0.038461570623003,0,0,0,0,0,0,package://Gate_URDF/meshes/center.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gate_URDF/meshes/center.STL,,2 inch pvc-1,,,center,continuous,-1.1124,2.5609,-0.28342,1.5708,0,-1.0018,base_link,0,1,0,,,,,,,,,,,,0
right,0,-0.762,0,0,0,0,6.94999978330128,1.34768073035475,2.27007302809217E-16,0,0.00504434459271899,-5.90070389205153E-16,1.34768073035475,0,0,0,0,0,0,package://Gate_URDF/meshes/right.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://Gate_URDF/meshes/right.STL,,60 inch pvc-1,Origin_right,Axis_right,right,continuous,-1.11237292668479,4.44044406487749,-0.326212805743868,1.5707963267949,0,2.12026425889413,base_link,0,1,0,,,,,,,,,,,,0
