Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.901444202565655,1.2655843574085,1.7746048087134,0,0,0,7.86706899154168,8.43739198665215,5.63136735241094E-14,-5.09580289389465E-14,3.45852900559528,3.75466317293394E-14,8.43739198665212,0,0,0,0,0,0,package://Buoy_Akash/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Buoy_Akash/meshes/base_link.STL,,Buoy-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Board_1,-7.1054E-15,-2.2204E-16,0.0015,0,0,0,8.9187,4.4191,-5.1357E-17,2.1094E-15,1.1048,-1.0922E-16,5.5238,0,0,0,0,0,0,package://Buoy_Akash/meshes/Board_1.STL,1,0,0,1,0,0,0,0,0,0,package://Buoy_Akash/meshes/Board_1.STL,,Board-1,Origin_Board_1,Axis_Board_1,Board_1,fixed,0.576444202565677,-1.96224364620002,1.26558435740853,1.5707963267949,0,-1.0471975511966,base_link,0,0,0,,,,,,,,,,,,0
Board_2,6.4393E-15,2.2204E-16,0.0015,0,0,0,8.9187,4.4191,-1.7109E-16,-1.2546E-14,1.1048,4.6096E-17,5.5238,0,0,0,0,0,0,package://Buoy_Akash/meshes/Board_2.STL,0,1,0,1,0,0,0,0,0,0,package://Buoy_Akash/meshes/Board_2.STL,,Board-2,Origin_Board_2,Axis_Board_2,Board_2,fixed,1.22644420256568,-1.96224364620002,1.26558435740853,1.5707963267949,0,1.04719755119661,base_link,0,0,0,,,,,,,,,,,,0
Board_3,1.1102E-16,4.4409E-16,0.0015,0,0,0,8.9187,4.4191,2.9127E-16,2.6869E-19,1.1048,-4.5617E-19,5.5238,0,0,0,0,0,0,package://Buoy_Akash/meshes/Board_3.STL,1,1,0,1,0,0,0,0,0,0,package://Buoy_Akash/meshes/Board_3.STL,,Board-3,Origin_Board_3,Axis_Board_3,Board_3,fixed,0.901444202565677,-1.39632713374014,1.26558435740853,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,0
