Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.168322864208956,-2.1192209241693,2.20919586667273,0,0,0,12.801733573456,2.52655639008521,3.91009741138073E-10,-4.22941253318381,9.63160274761318,2.3275950760761E-10,7.11378358707341,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/base_link.STL,,T_Joint-2;Horizontal_Pole-1;T_Joint-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Left,-1.72084568816899E-15,0.7625,-7.105427357601E-15,0,0,0,6.20904372055487,1.20533733871674,-3.29366482151843E-34,-6.52530446799852E-52,0.00402346033091955,1.40026273599015E-33,1.20533733871674,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/Left.STL,,Side_Poles-1,Origin_Left,Axis_Left,Left,continuous,-0.387916034858449,-2.1192209241693,0.0175757150527073,1.5707963267949,-0.536941728756498,0,base_link,0,1,0,,,,,,,,,,,,0
Middle,-6.32827124036339E-15,0.3048,-1.77635683940025E-15,0,0,0,1.23555551703134,0.038461570623003,-1.8485162729718E-35,0,0.000398565498683969,6.54920110171591E-35,0.038461570623003,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/Middle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/Middle.STL,,Middle_Pole-1,Origin_Middle,Axis_Middle,Middle,fixed,0.171988973006556,-2.13896595145136,1.46041339340233,1.5707963267949,-0.536941728756498,0,base_link,0,0,0,,,,,,,,,,,,0
Right,-2.22044604925031E-15,0.7625,-7.80220332785575E-12,0,0,0,6.20904372055487,1.20533733871674,4.2453167721409E-15,-4.34385773452136E-26,0.00402346033091955,1.2291990986631E-11,1.20533733871674,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Gate_URDF_NEW/meshes/Right.STL,,Side_Poles-2,Origin_Right,Axis_Right,Right,continuous,2.36005192355092,-2.11922092418566,1.65338624795541,1.5707963267949,-0.536941728756498,0,base_link,0,1,0,,,,,,,,,,,,0
